% Model:              带孔热传导.mph
% Version:            COMSOL 6.1.0.252
% Date:               Dec 31 2025, 02:17
% Dimension:          2
% Nodes:              13309
% Expressions:        3
% Description:        因变量 u, “u”的梯度，x 分量, “u”的梯度，y 分量
% Length unit:        m
% X                       Y                        u (1)                    ux (1/m)                 uy (1/m)
0.42928934908913347       0.42928929467356747      -2                       -11.804452593751714      -11.774048003979516
0.4242159344096026        0.4191103796033194       -1.8301796487334303      -10.609231243811417      -10.468993289499716
0.436560699826921         0.4226989314850696       -2                       -10.205704035129884      -12.404621371560388
0.43327329956651284       0.4122173515561985       -1.8452874781618847      -9.163404296371201       -11.08232769220715
0.4444429987004732        0.4168530240681937       -2                       -8.578286528953688       -12.805291184310875
0.42269898030503117       0.4365606403396279       -2                       -13.346780781214695      -10.92648567147412
0.4172498853430587        0.42652696276498264      -1.8272796453009739      -11.88851479831922       -9.83714894947976
0.441700013310564         0.40633890733983624      -1.850581096943074       -7.8050616137273385      -11.38541085287117
0.4528603515238775        0.41180786009202636      -2                       -6.967617339508735       -12.998247401241647
0.41685306682221135       0.44444293471458074      -2                       -14.785809855271149      -9.852101162582775
0.4100377855751989        0.43509300256666295      -1.8172716033062832      -13.179266544595643      -8.896907134308318
0.4514281915347115        0.40089942684041585      -1.856880507038881       -6.347338142798585       -11.537557735271141
0.46173167381897623       0.4076120396842599       -2                       -5.398626829921464       -12.991311587053959
0.4118078963684619        0.4528602836554565       -2                       -16.086827302222606      -8.571583384551062
0.40422458687768115       0.44425605311983635      -1.8141512824125745      -14.346641236262608      -7.851513126296808
0.4612151124071041        0.3965566112314511       -1.8621167707731254      -4.986013028404636       -11.509292374388375
0.47097154717215717       0.4043059619076419       -2                       -3.9014277935883492      -12.81099055962239
0.40761206913380643       0.4617316027215218       -2                       -17.205621706548104      -7.101034773104762
0.39916574979213515       0.4542062386857817       -1.8109491665108715      -15.397185608727241      -6.5975843625886705
0.47174147549137135       0.3931259262343532       -1.8681518940913036      -3.642151432226972       -11.337208863810606
0.48049098067885937       0.40192146939759266      -2                       -2.4943454548863997      -12.478561612720199
0.4043059843813697        0.47097147308626697      -2                       -18.117129608134764      -5.471020216995963
0.3952563728594543        0.4639542198874273       -1.807136317744476       -16.208042761348274      -5.27348305973034
0.48251335259214473       0.3912072260732634       -1.8789057858854759      -2.377018851555391       -11.083998801130836
0.49019828935460896       0.4004815269991345       -2                       -1.1926916778564778      -12.018791442505693
0.40192149322467485       0.48049086089232834      -2                       -18.784703619595348      -3.712883164331515
0.39225731418126997       0.4746826249240228       -1.8060727684972622      -16.88495585142906       -3.758032306597276
0.4935993674181277        0.39026061223507613      -1.8881293733261002      -1.1749557183262394      -10.696436924650579
0.5                       0.4                      -2                       -0.014709991429375199    -11.45779291996052
0.4004815222851861        0.4901983372162637       -2                       -19.196474849677823      -1.8678724462350356
0.3903558446775656        0.48496896031396425      -1.8045324140364267      -17.303159372275754      -2.2475809392917165
0.5042962663111233        0.38997636165310995      -1.892006325232032       -0.13218147464154736     -10.189216083816847
0.5098016627837365        0.4004815222851862       -2                       1.0436151458612908       -10.814854007583156
0.4                       0.5                      -2                       -19.33681181648624       0.010033347202475321
0.38929735803585364       0.49611647914459633      -1.8019191002992498      -17.498976289073333      -0.5783842339776258
0.5149136556663398        0.3906422780757687       -1.894921839645891       0.7986593400494095       -9.618133686981723
0.5195091391076716        0.4019214932246748       -2                       1.994497695723292        -10.121747377196337
0.4004815269991345        0.5098017106453913       -2                       -19.194666223530017      1.8869870194794676
0.3892855478683141        0.5068664003683415       -1.7993126875675183      -17.443147849395817      1.030169034908271
0.5259493819336047        0.3930969662951118       -1.9037524929018785      1.7203193330910673       -9.010176047750823
0.529028526913733         0.4043059843813696       -2                       2.832931264277638        -9.389206607858275
0.4019214693975926        0.5195090193211405       -2                       -18.7842989294726        3.7320972385338487
0.39084621671457287       0.5175539643870856       -1.8068373567553517      -17.23420992970156       2.6356137323813402
0.5366300882075391        0.3966249004821706       -1.9115402158409476      2.5364818584305744       -8.356512070741148
0.5382683972784781        0.40761206913380643      -2                       3.5628545344331997       -8.634726575187727
0.4043059619076418        0.5290284528278427       -2                       -18.112842027846455      5.490049782086373
0.39322278088613527       0.5281456651365997       -1.8110664237624525      -16.762360540598216      4.197769548719405
0.5461033336955677        0.40047314727695954      -1.9153344245427708      3.1740513970531965       -7.717323948176928
0.5471397163445438        0.411807896368462        -2                       4.194900551062811        -7.873517916389233
0.40761203968425996       0.5382683261810238       -2                       -17.20105918441142       7.119765703836843
0.3967090206499038        0.5384251634353089       -1.817563399600326       -16.082911248524418      5.679024583548119
0.5557329811279149        0.40502619108163485      -1.9155507541072654      3.728518493103735        -7.02180317214187
0.555557065285419         0.41685306682221124      -2                       4.738770610910042        -7.112450894846877
0.4118078600920263        0.5471396484761223       -2                       -16.077155320956386      8.587116528957637
0.40098988034099786       0.5482713516711322       -1.8219911596791198      -15.196305236832869      7.017724144019318
0.5646317631081633        0.41042339272145323      -1.9162629454412377      4.200913216240454        -6.349500793083284
0.5634393596603722        0.42269898030503134      -2                       5.205414923733637        -6.3586379611569255
0.4168530240681938        0.5555570012995269       -2                       -14.774786351474129      9.865872882015092
0.40587950925100813       0.5580581914551516       -1.8191265343623537      -14.073521040527625      8.174929434804733
0.5733732817860101        0.4171839847710428       -1.918079982123494       4.641461307556854        -5.648850489282036
0.5707107053264324        0.4292893490891335       -2                       5.601388544159145        -5.6140177302077445
0.42269893148506954       0.563439300173079        -2                       -13.333999834432438      10.936605312420435
